expertID,animal_weight
American mink,1.5
Bird,NA
Brown Rat,0.5
Coyote,30
Domestic cat,9
Domestic dog,20
Eastern chipmunk,0.25
Eastern cottontail rabbit,2.5
Eastern gray squirrel,1
Flying squirrel (cannot ID),1.3
Fox squirrel,1.8
Golf cart,NA
Gray fox,8.5
Human,140
weasel,NA
melanistic gray squirrel,1
Mouse,0.05
muskrat,2
North american beaver,45
Raccoon,15
Rat spp.,0.5
Red fox,15
Snake,0.3
Squirrel (cannot ID),1
Striped Skunk,10
Virginia opossum,5
White-tailed deer,150
Woodchuck,8.6
Empty ,NA
weasel,NA
